call_letters,station_name,frequency,format,market_city,market_state,phone_main,phone_direct,contact_name,contact_title,contact_email,best_call_days,best_call_time_start,best_call_time_end,timezone,last_called,last_result,follow_up_date,status,notes
"WQYK","99.5 QYK","99.5 FM","Country","Tampa","FL","727-579-1925","","Rick Thomas","Program Director / Brand Manager","rick.thomas@bbgi.com","Tuesday","10:00","11:30","ET","","","","VERIFIED","Front desk M-F 10am-5pm; Fax 727-563-8202; kebel@wqyk.com for morning show"
"WEDR","99 Jamz","99.1 FM","Hip-Hop/R&B","Miami","FL","305-444-4404","305-567-5692","Phil Michaels-Trueba","Director of Operations & Branding/Programming","Phil.Michaels-Trueba@cmg.com","Wednesday","10:00","11:30","ET","","","","VERIFIED","VP/GM Jimmy Farrell Jimmy.Farrell@cmg.com; hours M-F 8:30am-5:30pm"
"WMMO","Mix 98.9","98.9 FM","Classic Hits","Orlando","FL","321-281-2000","321-281-2020","Steve Stewart","Director of Branding & Programming","","Wednesday","10:00","11:30","ET","","","","VERIFIED","GM JC Campese 321-281-2142; office M/W/F 9am-5pm only"
"WQQK","92Q","92.1 FM","Urban R&B / Hip-Hop","Nashville","TN","615-321-1067","","Kenny Smoov","Program Director","Kenny.Smoov@cumulus.com","Wednesday","10:00","11:30","CT","","","","VERIFIED","VP Allison Warren allison.warren@cumulus.com; Promotions Jennipher Miller"
"WBUZ","102.9 The Buzz","102.9 FM","Active Rock","Nashville","TN","615-399-1029","","Chris Atticus","Program Director","chris.atticus@cromwellmedia.com","Tuesday","10:00","11:30","CT","","","","VERIFIED","APD Hayley St. John; GM Shawn Fort shawn.fort@cromwellmedia.com"
"WAPE","Big 95.1","95.1 FM","Pop/Top 40","Jacksonville","FL","904-245-8500","904-245-8500","Jud Heussler","Program Director","Jud.Heussler@cmg.com","Tuesday","10:00","11:30","ET","","","","VERIFIED","Hours M-F 8:30am-5:30pm; Promotions Justin Cousart 904-245-8511"
"WQIK","Country 99.1","99.1 FM","Country","Jacksonville","FL","904-636-0507","","Casey Carter","Program Director","CaseyCarter@iheartmedia.com","Wednesday","10:00","11:30","ET","","","","VERIFIED","PD appointed March 2026; hours M-F 9:30am-4:30pm"
"WRUF","103.7 The Gator","103.7 FM","Country","Gainesville","FL","352-392-5551","","Tommy BoDean","Brand Manager","thomasdean@ufl.edu","Tuesday","10:00","11:30","ET","","","","VERIFIED","Broadcast Ops Director Rob Harder rharder@ufl.edu; UF-owned station"
"WKRO","93.1 Coast Country","93.1 FM","Country","Daytona Beach","FL","386-255-9300","","Jonathan Wiley","Operations Manager / Program Director","djtremble@sscdaytona.com","Monday","10:00","11:30","ET","","","","VERIFIED","GM Greg Pretko gpretko@sscdaytona.com; M-F 9am-5pm; Bobby Bones morning show"
"WMXJ","102.7 The Beach","102.7 FM","Classic Hits","Miami","FL","800-924-1027","305-521-5100","","","","","","","","","","","UNVERIFIED","Formerly Majic 102.7 AC; now classic hits; Audacy market"
"WVYB","103.3 The Vibe","103.3 FM","Pop/Top 40","Daytona Beach","FL","386-255-9300","","","","","","","","","","","","UNVERIFIED","Same cluster as WKRO; Southern Stone; contact through main line"
"WFLZ","93.3 FLZ","93.3 FM","Pop/Top 40","Tampa","FL","813-832-1000","","Tommy Chuck","Senior VP of Programming","","Tuesday","10:00","11:30","ET","","","","PARTIAL","WFLZ-FM is 93.3 (not 98.7); also has Lauren 'Lo' Barker as APD"
"WMTX","Mix 100.7","100.7 FM","Adult Contemporary","Tampa","FL","813-832-1000","","","","","","","","","","","","","UNVERIFIED"
"WHYI","Y100","100.7 FM","Pop/Top 40","Miami","FL","954-862-2000","","Larry Calderon Jr.","Program Director","","Tuesday","10:00","12:00","ET","","","","PARTIAL","PD since July 2024 (Larry 'Yako'); former MD Drew Heyman"
"WKIS","Kiss Country 99.9","99.9 FM","Country","Miami","FL","954-862-2000","","Scott Simon","Music Director","","Tuesday","10:00","11:30","ET","","","","PARTIAL","Scott Simon confirmed MD on LinkedIn; also afternoon host"
"WXXL","XL106.7","106.7 FM","Pop/Top 40","Orlando","FL","407-916-7800","","Jeremy Rice","Program Director","","Tuesday","10:00","11:30","ET","","","","PARTIAL","PD since March 2022; oversees XL1067 and Magic 107.7"
"WTKS","Real Radio 104.1","104.1 FM","Talk","Orlando","FL","407-916-7800","","","Dominic Zaccagnini","Program Director","","Tuesday","10:00","11:00","ET","","","","PARTIAL"
"WKDF","103.3 Country","103.3 FM","Country","Nashville","TN","615-321-1067","","Travis Daily","Brand & Content Manager","","Monday","10:00","11:30","CT","","","","PARTIAL","Manages both WKDF and WSM-FM 95.5; VP Allison Warren allison.warren@cumulus.com 615-312-3514"
"WSMF","95.5 Nash Icon","95.5 FM","Classic Country","Nashville","TN","615-321-1067","","Travis Daily","Brand & Content Manager","","Monday","10:00","11:30","CT","","","","PARTIAL","Same PD as WKDF 103.3; Cumulus Nashville cluster; studio 615-889-6595"
"WSIX","The Big 98","97.9 FM","Country","Nashville","TN","615-664-2400","","Gator Harrison","Senior VP of Programming","","Tuesday","10:00","11:30","CT","","","","PARTIAL","Nashville's #1 for New Country; call in 615-737-9800; WSIX-FM"
"WNFN","Y'all 106.7","106.7 FM","Classic Country","Nashville","TN","615-259-4567","","Ron Allen","Brand Manager","","Monday","10:00","11:30","CT","","","","PARTIAL","Flipped from CHR Hot 106.7 to classic country June 2023; fax 615-737-4594"
