call_letters,station_name,frequency,format,market_city,market_state,market_rank,owner,address,phone_main,phone_direct,phone_studio,contact_name,contact_title,contact_email,best_call_days,best_call_time_start,best_call_time_end,timezone,last_called,last_result,follow_up_date,status,notes,verified_date,source
WXXL,XL106.7,106.7 FM,Pop/Top 40,Orlando,FL,20,iHeartMedia,"2500 Maitland Center Pkwy Suite 401, Maitland FL 32751",407-916-7800,,407-919-1067,Jeremy Rice,Program Director,,Tuesday,10:00,11:30,ET,,,,PARTIAL,PD since March 2022; oversees XL1067 and Magic 107.7,2026-04-20,RadioInsight + iHeart contact page
WMMO,Mix 98.9,98.9 FM,Classic Hits,Orlando,FL,20,Cox Media Group,"4192 N John Young Pkwy, Orlando FL 32804",321-281-2000,321-281-2020,844-862-9890,Steve Stewart,Director of Branding & Programming,,Wednesday,10:00,11:30,ET,,,,VERIFIED,GM JC Campese 321-281-2142; office M/W/F 9am-5pm only,2026-04-20,WMMO contact page
WTKS,Real Radio 104.1,104.1 FM,Talk,Orlando,FL,20,iHeartMedia,"2500 Maitland Center Pkwy Suite 401, Maitland FL 32751",407-916-7800,,,,Dominic Zaccagnini,Program Director,,Tuesday,10:00,11:00,ET,,,,PARTIAL,PD since July 2023; call letters WTKS-FM; news-talk format,2026-04-20,RadioInsight
WHYI,Y100,100.7 FM,Pop/Top 40,Miami,FL,12,iHeartMedia,,954-862-2000,,,Larry Calderon Jr.,Program Director,,Tuesday,10:00,12:00,ET,,,,PARTIAL,PD since July 2024 (Larry 'Yako'); former MD Drew Heyman,2026-04-20,RadioInsight / Radio Ink
WEDR,99 Jamz,99.1 FM,Hip-Hop/R&B,Miami,FL,12,Cox Media Group,"2741 N 29th Ave, Hollywood FL 33020",305-444-4404,305-567-5692,,Phil Michaels-Trueba,Director of Operations & Branding/Programming,Phil.Michaels-Trueba@cmg.com,Wednesday,10:00,11:30,ET,,,,VERIFIED,VP/GM Jimmy Farrell Jimmy.Farrell@cmg.com; hours M-F 8:30am-5:30pm,2026-04-20,99jamzmiami.com contact page
WMXJ,102.7 The Beach,102.7 FM,Classic Hits,Miami,FL,12,Audacy,"8300 NE 2nd Ave Suite 200, Miami FL 33138",800-924-1027,305-521-5100,,,,,,,,,,,,UNVERIFIED,Formerly Majic 102.7 AC; now classic hits; Audacy market,2026-04-20,Audacy contact page
WKIS,Kiss Country 99.9,99.9 FM,Country,Miami,FL,12,Audacy,,"954-862-2000",,,Scott Simon,Music Director,,Tuesday,10:00,11:30,ET,,,,PARTIAL,Scott Simon confirmed MD on LinkedIn; also afternoon host,2026-04-20,LinkedIn / RadioInsight
WFLZ,93.3 FLZ,93.3 FM,Pop/Top 40,Tampa,FL,11,iHeartMedia,"13577 Feather Sound Dr 6th Fl, Clearwater FL 33762 / 4002 W Gandy Blvd Tampa",813-832-1000,,,Tommy Chuck,Senior VP of Programming,,Tuesday,10:00,11:30,ET,,,,PARTIAL,WFLZ-FM is 93.3 (not 98.7); also has Lauren 'Lo' Barker as APD,2026-04-20,RadioInsight + Yelp
WMTX,Mix 100.7,100.7 FM,Adult Contemporary,Tampa,FL,11,iHeartMedia,"4002 W Gandy Blvd, Tampa FL",813-832-1000,,,,,,,,,,,,,,UNVERIFIED,iHeart Tampa cluster; same address as WFLZ; need direct PD contact,2026-04-20,Wikipedia
WQYK,99.5 QYK,99.5 FM,Country,Tampa,FL,11,Beasley Broadcast Group,"9721 Executive Center Dr N Suite 200, St. Petersburg FL 33702",727-579-1925,,727-563-8990,Rick Thomas,Program Director / Brand Manager,rick.thomas@bbgi.com,Tuesday,10:00,11:30,ET,,,,VERIFIED,Front desk M-F 10am-5pm; Fax 727-563-8202; kebel@wqyk.com for morning show,2026-04-20,995qyk.com contact page
